idx,m1,m2,M_total,q,G,r0,v_perp,alpha,omega,dt,n_steps,E0,L0,mu,epsilon,h,e,p,a,r_min,r_max,T_orb,T_norm,r_ratio,orbit_class,orbit_name,dE_max,dE_slope,dL_max,MEGNO,residual_max,residual_mean,e_inst_std,traj_r_mean,traj_r_std,traj_r_min_num,traj_r_max_num,traj_vr_max,traj_vt_mean
0,416.5962498,554.1059048,970.7021545,0.751835067,1,1.128653437,51.11207408,1.742853216,4.434653363,0.001282852,3000,106101.436,13718.48819,237.8056346,446.1687217,57.68781809,2.037537331,3.428326949,,1.128653437,,,,,3,hyperbolic,0.000511092,7.14E-07,4.34E-14,1.328225297,,,1.60E-05,60.6105307,33.9471498,1.129930485,119.0183403,34.29129776,2.342272325
1,0.872428507,638.8304528,639.7028813,0.001365665,1,16.50442045,0.661015281,0.106175053,5.262015288,3.77E-05,3000,-33.57842509,9.504930151,0.871238686,-38.54101708,10.90967412,0.988726858,0.186056673,8.298988062,0.093555669,16.50442045,5.93920649,2.240356646,0.005668522,1,elliptical,9.10E-14,8.12E-13,3.18E-15,0.000101393,175.1014377,175.0500834,3.32E-16,16.49946333,0.004433296,16.48955474,16.50442045,0.262863018,0.661213925
2,1.365892544,465.7399814,467.1058739,0.002932736,1,4.96499187,11.35428815,1.170608082,5.753794636,0.017062745,3000,-40.33937404,76.77559318,1.361898455,-29.61995726,56.37394836,0.370323281,6.80364395,7.884985616,4.96499187,10.80497936,6.43685257,12.57486739,0.459509612,1,elliptical,0.000254778,1.30E-07,5.18E-15,3.333660167,0.351648001,0.221087307,7.81E-05,8.450337999,1.982586655,4.964997231,10.81006434,3.070730752,7.121968224
3,0.119870551,77.51058053,77.63045108,0.001546506,1,18.21276267,0.657766504,0.318598416,1.951897811,0.003635324,3000,-0.48425837,1.43380128,0.119685457,-4.046092009,11.97974522,0.898495049,1.848685582,9.593263192,0.97376371,18.21276267,21.18914109,2.401959415,0.053466008,1,elliptical,0.0025492,-9.22E-06,5.42E-15,3.342840854,15.88899536,10.41159883,2.25E-05,13.1245863,5.043447602,0.973959808,18.21276129,5.822483836,1.444960466
4,1.624696904,847.0600362,848.6847331,0.001918042,1,13.43962872,11.14994758,1.403114996,4.447514357,0.056374987,3000,-1.600934822,242.996631,1.621586633,-0.987264442,149.8511557,0.968731693,26.45902299,429.8163171,13.43962872,846.1930056,1921.901038,1136.379289,0.015882463,1,elliptical,0.009356317,8.66E-07,1.49E-14,2.659452522,29.13747297,17.45380082,1.54E-05,250.9229034,108.049252,13.44686184,409.3648653,5.488059595,0.95645604
5,195.0300476,288.3729187,483.4029663,0.676311939,1,1.46267075,18.19608346,1.000913514,5.00008702,0.002681908,3000,-19190.43727,3096.500722,116.3447227,-164.9446303,26.61487904,0.001827862,1.465344311,1.465349206,1.46267075,1.468027663,0.506917067,6.300451949,0.996350945,1,elliptical,2.32E-06,6.15E-09,2.94E-15,1.908518562,0.002687518,0.001529766,0.000194243,1.46578132,0.002175377,1.462670752,1.468840049,0.038244493,18.1575091
6,40.58808006,81.58940751,122.1774876,0.497467518,1,18.38001739,1.233848838,0.478563223,4.428629795,0.011050973,3000,-159.5399143,614.6798431,27.10448111,-5.886108413,22.67816309,0.770977242,4.209442275,10.37846052,2.376903652,18.38001739,19.00569168,2.666001552,0.129319989,1,elliptical,0.001027238,-4.22E-07,2.96E-15,0.87444933,5.552511852,3.622291494,3.26E-05,12.90795253,4.819731494,2.377274973,18.38001682,4.153673212,2.311900829
7,0.711594319,58.53766348,59.2492578,0.012156179,1,3.231187384,3.349904951,0.782297783,0.563936209,0.007363899,3000,-8.946813134,7.609910881,0.703047943,-12.72575111,10.82417062,0.388010178,1.977453792,2.327927731,1.424668077,3.231187384,2.899296637,3.842296651,0.440911624,1,elliptical,0.000267196,-4.53E-07,9.10E-15,2.826719929,1.231080194,0.794941721,7.84E-05,2.48899264,0.619571526,1.424968463,3.23118738,2.123796542,4.683295089
8,29.84101902,48.1681741,78.00919312,0.619517339,1,6.259186559,5.600645251,1.586441712,0.221017214,0.059099349,3000,59.33981418,645.9278479,18.4258719,3.220461669,35.05548347,1.516797305,15.75310386,,6.259186559,,,,,3,hyperbolic,0.000801858,3.79E-08,2.27E-14,2.111414498,,,1.53E-05,252.2660144,137.4235678,6.264459702,486.7104046,3.376056458,0.310184321
9,11.821983,13.97919804,25.80118104,0.845683921,1,1.925487743,5.138113899,1.403635403,3.240588487,0.017533559,3000,-1.279174137,63.36909247,6.405204526,-0.199708554,9.893375336,0.970192343,3.793581208,64.59708525,1.925487743,127.2686828,642.2135415,1220.922547,0.015129313,1,elliptical,0.009825704,2.92E-06,3.03E-15,2.452317346,48.13394669,17.81708125,1.54E-05,36.11552594,15.59350096,1.92652559,59.04455024,2.530938349,0.439690684
10,0.041635569,29.65593143,29.697567,0.001403954,1,1.584311562,2.527952547,0.583886962,0.397904567,0.00113623,3000,-0.646504819,0.16651935,0.041577196,-15.54950501,4.005064448,0.659076015,0.54012981,0.954936089,0.325560616,1.584311562,1.07592226,2.940224153,0.205490274,1,elliptical,0.000629244,1.67E-06,2.33E-15,0.841942678,3.835941898,2.674077832,4.14E-05,1.1824389,0.392533871,0.325624175,1.584311529,4.887133802,4.109356073
11,26.25112102,641.9352184,668.1863395,0.040893723,1,6.52275686,14.31673,1.41452502,1.268369349,0.0214821,3000,1.138069964,2355.138703,25.21978991,0.045126068,93.38454882,1.000881031,13.05126047,,6.52275686,,,,,2,parabolic,0.340163234,7.90E-05,2.28E-14,2.596497985,,,1.53E-05,133.6712582,60.51956409,6.526383805,226.6302348,7.163534777,1.169332739
12,48.37215792,123.647396,172.0195539,0.391210486,1,17.15826391,4.793302635,1.513849191,2.185925043,0.1,3000,50.84779718,2859.636375,34.76983418,1.462411265,82.24475161,1.291739373,39.32226898,,17.15826391,,,,,3,hyperbolic,0.000382635,2.60E-08,7.47E-15,1.987076298,,,6.32E-06,336.9429732,174.5588816,17.16203752,628.655934,2.701937333,0.462888117
13,0.570865713,27.73379255,28.30465827,0.020583759,1,16.99713828,2.905360653,2.25143284,2.376990717,0.1,3000,1.429312554,27.62238441,0.559352143,2.555300039,49.38281678,4.068949833,86.15764126,,16.99713828,,,,,3,hyperbolic,1.66E-05,7.11E-10,4.18E-14,1.746563186,,,2.27E-06,352.9498984,198.6012046,16.99913141,695.9062866,2.332208314,0.300318306
14,0.42447004,120.0661903,120.4906603,0.0035353,1,2.613874364,8.050152295,1.185686183,4.104125655,0.012833027,3000,-5.792258131,8.900270251,0.422974697,-13.69410079,21.04208671,0.405851725,3.674719784,4.399363718,2.613874364,6.184853071,5.281873301,13.71947863,0.422625135,1,elliptical,0.000283024,-1.38E-07,5.19E-15,1.556918663,1.25129062,0.801541336,7.49E-05,4.730374749,1.210633476,2.613874483,6.187867591,2.325561211,4.816381695
15,3.661444621,24.99954655,28.66099117,0.146460441,1,1.65847486,0.62675161,0.150766309,5.885269246,1.64E-05,3000,-54.56467649,3.319691655,3.193694688,-17.08512611,1.039451789,0.97726952,0.037697929,0.838770255,0.01906565,1.65847486,0.90156864,2.259857532,0.011495894,1,elliptical,6.30E-12,1.27E-10,6.42E-15,0.205874047,85.94742283,85.73363699,4.29E-14,1.654362825,0.003679551,1.646132788,1.658474858,0.503217801,0.628312558
16,3.455434772,95.46713841,98.92257318,0.036195018,1,4.583257161,6.572111996,1.414634893,2.743662753,0.032884586,3000,0.0428929,100.4477888,3.334734015,0.012862465,30.12167937,1.001191881,9.171977022,,4.583257161,,,,,2,parabolic,0.251504514,3.82E-05,1.34E-14,2.324347995,,,1.53E-05,94.00254033,42.57686983,4.585806449,159.4233091,3.288939829,0.536549053
17,2.48179125,91.395646,93.87743725,0.027154371,1,3.537775734,5.160860555,1.001859133,0.4198786,0.022892519,3000,-31.93825052,44.11456022,2.416181366,-13.21848226,18.25796724,0.003721722,3.550942351,3.550991536,3.537775734,3.564207338,4.339340317,6.318425599,0.992584156,1,elliptical,4.39E-06,1.70E-09,2.42E-15,2.035829179,0.001910849,0.001030797,0.00019348,3.552130972,0.010016878,3.537775734,3.566172341,0.020564319,5.14004483
18,2.160776956,26.41088772,28.57166467,0.081813871,1,1.164490256,4.418660596,0.892053294,6.166237015,0.00420937,3000,-29.50804687,10.27741507,1.997364809,-14.77348892,5.145487207,0.204240921,0.926653694,0.966991103,0.769491949,1.164490256,1.11775292,4.754554143,0.660797242,1,elliptical,0.000150539,4.12E-07,2.94E-15,2.124163515,0.51251273,0.329571237,0.000113708,0.989895594,0.137648764,0.769717876,1.164490037,1.133671558,5.305442438
19,0.135349441,89.22036807,89.35571751,0.001517024,1,11.74152444,3.26360629,1.183038372,4.072658487,0.1,3000,-0.308760188,5.178695527,0.135144424,-2.284668355,38.319713,0.39957979,16.43320031,19.55551171,11.74152444,27.36949898,57.48075607,13.50507237,0.429000343,1,elliptical,0.000137983,-1.64E-08,1.72E-15,2.115132989,1.224423683,0.778838563,3.81E-05,20.8983338,5.333440486,11.74153217,27.37607708,0.932079225,1.982404517
20,51.01628337,137.7278617,188.7441451,0.370413675,1,6.622699816,11.39265944,2.134056466,2.184497874,0.041351818,3000,1354.93963,2808.777377,37.22692229,36.39676735,75.4501636,3.554196999,30.16107962,,6.622699816,,,,,3,hyperbolic,0.000339919,5.67E-09,1.89E-13,1.915255111,,,1.89E-05,538.7124049,307.4879057,6.635764828,1070.1615,8.892305018,0.386579801
21,95.39976044,125.2524982,220.6522586,0.761659542,1,3.037862103,10.34822214,1.214214969,2.670867516,0.011881647,3000,-1033.852884,1702.390169,54.15334696,-19.09120935,31.43647188,0.47431799,4.47877475,5.778896836,3.037862103,8.519931568,5.876152958,16.48523705,0.356559449,1,elliptical,0.000348408,-3.34E-07,2.14E-15,3.596018552,1.77403606,1.17362174,6.63E-05,6.39934844,1.845819938,3.037863098,8.524476918,3.3311798,5.481138206
22,6.950242717,290.3164054,297.2666481,0.023940234,1,1.907065649,19.44981949,1.557848798,4.682253836,0.005091598,3000,225.8368567,251.7715083,6.787742571,33.27127603,37.09208262,1.426892879,4.628244042,,1.907065649,,,,,3,hyperbolic,0.000923903,5.53E-07,3.41E-14,1.655875694,,,1.52E-05,71.60501259,38.6257378,1.90857711,137.2728698,11.4380928,1.126006326
23,1.761383463,23.19417695,24.95556042,0.075940762,1,9.380379846,0.251136469,0.153970079,5.621489785,0.000251859,3000,-4.303619233,3.856521543,1.637063606,-2.62886501,2.355755469,0.976293215,0.22237865,4.746451476,0.112523105,9.380379846,13.00618038,2.261532321,0.011995581,1,elliptical,8.14E-12,1.07E-11,1.73E-15,0.011449763,82.24766015,82.01678043,5.80E-14,9.353976668,0.023628239,9.301121458,9.380379837,0.21038321,0.251846953
24,2.366477774,814.3913756,816.7578534,0.002905824,1,1.807884466,29.02836605,1.365718738,1.830476942,0.002835229,3000,-71.85624882,123.8327566,2.359621131,-30.45245183,52.47993204,0.86518767,3.372043814,13.4103792,1.807884466,25.01287394,10.79679354,126.9361864,0.072278158,1,elliptical,0.001999601,4.28E-06,1.49E-15,2.526448693,12.34315983,9.637081684,1.57E-05,20.18741566,5.751526245,1.808753513,25.06354686,13.46944067,3.309046996
25,39.0177167,292.9470908,331.9648075,0.13319032,1,1.690110786,27.11027973,1.93439679,2.247386255,0.00401981,3000,5890.156469,1577.640939,34.43174198,171.0676292,45.81937619,2.74189094,6.324210239,,1.690110786,,,,,3,hyperbolic,0.000394511,1.08E-07,1.95E-13,1.74604257,,,1.73E-05,114.761585,65.10439092,1.692683589,227.1360897,19.86820603,1.052082661
26,0.129502812,19.5879998,19.71750261,0.006611334,1,2.518550985,3.957470914,1.414383404,0.799699939,0.030003983,3000,0.000241937,1.282288832,0.128652249,0.001880552,9.967092268,1.000480412,5.038311912,,2.518550985,,,,,2,parabolic,0.623641381,0.000103789,1.66E-14,2.559693259,,,1.53E-05,51.55784038,23.33051566,2.519950852,87.37822076,1.979768074,0.32341266
27,0.416052223,256.6569048,257.072957,0.001621044,1,4.226253924,17.36670691,2.226727496,4.914777889,0.018062752,3000,37.37314812,30.48719497,0.415378875,89.97363691,73.39611321,3.95831534,20.95509966,,4.226253924,,,,,3,hyperbolic,0.000323948,9.96E-09,1.71E-13,1.889829409,,,1.98E-05,368.8712939,210.9182091,4.235538181,733.5420505,13.86599383,0.558492585
28,9.233525944,417.4896125,426.7231384,0.02211678,1,11.68340355,1.302965468,0.215597886,1.51269616,0.00023652,3000,-322.2783951,137.5211006,9.033728948,-35.67501272,15.22307138,0.953517551,0.543073204,5.980700578,0.277997607,11.68340355,4.448717849,2.301197492,0.023794231,1,elliptical,5.94E-10,7.93E-10,3.72E-15,-0.065145401,40.17591981,39.19293569,8.12E-12,11.42990548,0.227964332,10.91658141,11.68340347,2.210037493,1.332400444
29,1.272570324,84.82067496,86.09324528,0.015003068,1,2.058038075,6.443738581,0.996276935,4.723577506,0.010372675,3000,-26.41897547,16.62668828,1.253760076,-21.07179512,13.26145934,0.007432268,2.042742185,2.042855029,2.027671983,2.058038075,1.977204777,6.213783001,0.985245126,1,elliptical,7.78E-06,-7.61E-09,5.13E-15,1.197190954,0.010727152,0.006660707,0.000191957,2.043304005,0.010351002,2.028765441,2.058038063,0.046525555,6.490370311
30,0.086538295,35.03784116,35.12437946,0.002469852,1,3.723232842,0.834211713,0.27160143,1.903582905,0.000302822,3000,-0.784339744,0.268122643,0.086325084,-9.085884481,3.105964446,0.926232663,0.27465297,1.932909203,0.142585564,3.723232842,2.849001769,2.350264571,0.038296172,1,elliptical,2.78E-08,2.24E-08,2.07E-15,0.60942781,23.35009477,20.482611,5.20E-10,3.381506604,0.313524175,2.654601224,3.723232734,2.631022184,0.927108264
31,128.1492178,207.8288898,335.9781076,0.616609259,1,4.444513977,20.48388092,2.355965306,4.040078246,0.017039611,3000,10638.14715,7216.845643,79.27037228,134.2007972,91.04089504,4.550572524,24.66959716,,4.444513977,,,,,3,hyperbolic,0.000307076,7.36E-09,1.24E-13,2.089251617,,,2.10E-05,423.6946633,242.710809,4.455736651,843.4801536,16.79559291,0.615333614
32,64.43488686,930.1898924,994.6247792,0.069270681,1,14.37572563,9.949912221,1.196201933,5.708953985,0.057609456,3000,-1186.375625,8619.507195,60.26059447,-19.68741987,143.0372082,0.430899064,20.57021235,25.26041467,14.37572563,36.14510371,25.29361737,14.63510756,0.397722628,1,elliptical,0.000305099,5.41E-08,5.91E-15,2.296687725,0.508425505,0.31882457,6.89E-05,27.84523786,7.265287075,14.37572591,36.16325144,2.998227586,5.603034516
33,0.016189765,14.51522841,14.53141818,0.001115364,1,4.176883265,1.861754641,0.998147248,3.105869814,0.073820989,3000,-0.028234942,0.125756719,0.016171727,-1.745944716,7.776331803,0.003702072,4.161420143,4.161477178,4.146071091,4.176883265,13.9925589,6.24845487,0.992623166,1,elliptical,3.76E-06,-4.47E-10,3.97E-15,2.008423312,0.000627268,0.000288869,0.000193555,4.162507433,0.010068812,4.148340113,4.176883244,0.006410289,1.868195415
34,5.936971409,130.9413601,136.8783315,0.045340688,1,12.25910207,5.546191684,1.659804183,0.682712715,0.1,3000,23.93708677,386.1540899,5.679460749,4.214675976,67.99132998,1.754949924,33.77321233,,12.25910207,,,,,3,hyperbolic,0.000413907,1.18E-08,4.70E-14,2.158874376,,,1.16E-05,474.8327449,261.8696223,12.26709225,923.355108,3.533465628,0.326005189
35,99.84613187,285.6410645,385.4871964,0.349551042,1,19.69228635,5.031920597,1.137304799,5.484667956,0.1,3000,-511.6360626,7331.145708,73.98470212,-6.91543046,99.09002129,0.293462205,25.47122813,27.87152576,19.69228635,36.05076516,47.08862455,10.57978325,0.546237681,1,elliptical,9.23E-05,-5.76E-09,5.21E-15,1.537492225,0.347693378,0.219846593,4.29E-05,28.94745274,5.640358021,19.69229015,36.05807791,1.142135398,3.569992202
36,0.402550311,63.17785147,63.58040178,0.0063717,1,6.149130407,3.205555122,0.996892818,5.898688008,0.062568184,3000,-2.080787194,7.884582545,0.400001621,-5.201946901,19.71137648,0.00620471,6.110976836,6.111212108,6.07329381,6.149130407,11.90444823,6.225157582,0.987667102,1,elliptical,6.47E-06,-1.04E-09,3.94E-15,1.998414948,0.012261895,0.007637256,0.000192469,6.112595743,0.025629052,6.076584814,6.149130376,0.019150483,3.224771244
37,0.998970687,129.019054,130.0180247,0.007742815,1,1.66308658,8.323622448,0.941386618,1.226386853,0.004449873,3000,-43.1584202,13.72240605,0.991295271,-43.5374015,13.84290479,0.113791235,1.473841904,1.493176214,1.323265848,1.66308658,1.005413428,5.345325721,0.795668647,1,elliptical,9.57E-05,2.40E-07,5.83E-15,2.134197697,0.212128845,0.133755234,0.000142438,1.505042047,0.119370725,1.323759967,1.663086424,1.067467365,9.256804881
38,15.4248884,48.51313659,63.93802499,0.317952816,1,7.698924858,2.863099761,0.993509245,1.205876222,0.08566133,3000,-49.22715806,257.9815988,11.7036727,-4.206129077,22.04278992,0.01293938,7.599305542,7.600578088,7.502231318,7.698924858,16.46532084,6.163177632,0.974451817,1,elliptical,1.35E-05,-1.08E-09,2.42E-15,2.097948709,0.021825188,0.013658807,0.000189327,7.602528278,0.068304592,7.506190973,7.698924842,0.036786888,2.899636629
39,2.602654128,418.1011151,420.7037692,0.006224939,1,15.4245115,6.989102192,1.338255073,0.879994061,0.098448175,3000,-7.374881852,278.8394322,2.586552992,-2.851239419,107.8034871,0.79092664,27.62416856,73.77559499,15.4245115,132.1266785,194.1157382,65.72518565,0.116740326,1,elliptical,0.001210595,2.93E-08,3.67E-15,1.232813418,5.22160177,3.329196457,2.80E-05,97.43626677,34.24623348,15.42464399,132.2979749,3.087708317,1.450486924
40,0.197796133,29.349162,29.54695814,0.006739413,1,17.98324256,0.584673034,0.456132142,1.662515786,0.018501627,3000,-0.289227649,2.065769165,0.196472026,-1.472106003,10.51431699,0.791943469,3.741531064,10.0356082,2.087973828,17.98324256,36.74845003,2.619349265,0.116106638,1,elliptical,0.001149382,-7.28E-07,4.94E-15,3.531642447,6.719541081,4.488839786,3.23E-05,13.10451461,4.729425366,2.088300728,17.98324194,2.225531006,1.073921714
41,5.620287103,26.44753752,32.06782463,0.212507009,1,10.0971579,1.954288663,1.09661337,2.377042188,0.1,3000,-5.869649051,91.466509,4.635261536,-1.266303747,19.7327612,0.202560883,12.14244712,12.66197968,10.0971579,15.22680147,49.99165757,8.823351185,0.663117459,1,elliptical,4.20E-05,-2.70E-10,2.95E-15,2.386172664,0.474126087,0.303314894,3.22E-05,12.9225782,1.795694718,10.09715878,15.22869967,0.329308769,1.558350122
42,0.501442565,9.698824704,10.20026727,0.051701374,1,19.64830088,1.182491962,1.64117511,0.24280936,0.1,3000,0.085823072,11.07776001,0.476791775,0.18000116,23.23395787,1.693455741,52.9218288,,19.64830088,,,,,3,hyperbolic,7.91E-06,2.56E-09,2.39E-14,1.881928066,,,5.80E-07,119.4935626,60.5961537,19.6485246,222.5432201,0.743469649,0.301602938
43,23.12996885,85.97117025,109.1011391,0.269043317,1,1.305708765,10.60611831,1.160285819,2.483332569,0.004761388,3000,-497.7995685,252.4069959,18.22630365,-27.31215161,13.84850164,0.346263182,1.757827637,1.997300335,1.305708765,2.688891905,1.697971076,11.88708728,0.485593624,1,elliptical,0.000237443,-1.31E-07,3.49E-15,1.038147226,1.014708187,0.653046424,8.41E-05,2.112132615,0.473543279,1.305709629,2.690132672,2.730101971,6.94927958
